索引,说明,正确答案,错误答案,flag
171,月亮金字塔坐落在哪里？,墨西哥,埃及,0
172,“江苏”这个地名，取义于哪两个名称的连称？,南京-苏州,扬州-苏州,0
173,草原上来了一群羊，打一水果？,草莓,香蕉,0
174,吃太多手摇爆米花机爆出的米花会导致什么后果？,铅中毒,爆炸,0
175,9、10月，大马哈鱼逆流游到黑龙江是为了什么？,产卵,捕捉食物,0
176,吴道子的作品是什么？,天王送子图,天天送子图,0
177,有种动物，大小像只猫，长相又像虎，这是什么动物?,小老虎,豹子,0
178,不等腰直角三角形中对着直角的边叫做什么？,弦,股,0
179,什么人始终不敢洗澡？,泥人,原始人,0
180,黄褐斑和雀斑都多见于哪种人？,女性,人妖,0
181,“司空见惯”是说司空见惯了什么？,美女,金子,0
182,大西洋的中间是什么？,西,岛,0
183,茉莉花、太阳花、玫瑰花哪一朵花最没力？,茉莉花,玫瑰花,0
184,下列半岛哪个以出产石油著称？,阿拉伯半岛,印度半岛,0
185,人体最坚硬的部分是什么？,牙齿,骨头,0
186,以下哪一种商品的需求价格弹性最小？,食盐,鸡肉,0
187,“海市蜃楼”在什么时候会呈倒象？ ,下午,早上,0
188,“孑孓”是哪种动物的幼虫？,蚊子,苍蝇,0
189,沙漠之舟--骆驼的驼峰是用来储藏什么的？,脂肪,糖分,0
190,股票市场中指数大幅上升又称为什么？,牛市,熊市,0
191,水上芭蕾又称为什么？,花样游泳,水上舞蹈,0
192,从1到9哪个数字最勤劳？,2,1,0
193,从1到9哪个数字最懒惰？,1,9,0
194,能使淀粉变成蓝黑色的是什么？,碘酒,酒精,0
195,“吹箫吴市”中的“吹箫”是用来婉指什么人？,乞丐,失足妇女,0
196,怎样使麻雀安静下来？,压它一下,关笼子里,0
197,历史上哪个人跑得最快? ,曹操,博尔特,0
198,经常食用以下哪种食物容易引起铅中毒？,松花蛋,腌鸡蛋,0
199,“藕”是莲的什么部位？,茎,根,0
200,“光年”是什么单位？,长度单位,国有单位,0
201,最原始的哺乳动物—鸭嘴兽是怎么繁殖的？ ,卵生,胎生,0
202,中央台的文艺频道是第几套节目?,三套,七套,0
203,中央台的体育频道是第几套节目?,五套,三套,0
204,“打蛇打七寸”的七寸是指哪里？,心脏,胆,0
205,在远古跳远是为了什么？,逃避猛兽,庆祝节日,0
206,“变脸”是哪个剧种的绝活？,川剧,越剧,0
207,人体含水量百分比最高的器官是什么?,眼球,大脑,0
208,有一只熊走过来，打一成语？,有备而来,熊经鸟伸,0
209,拿筷子吃饭，打一成语？,脍炙人口,蚕食鲸吞,0
210,甲骨文是写在哪上面的？,龟骨,贝壳,0
211,血液占成人体重的比例是多少？,7-8%,6-7%,0
212,下列名称不属于二十四节气的是？,大伏,白露,0
213,人的面部与手一样有左右偏性，那么哪种偏性的人更多？,右偏,一样多,0
214,一瓶可口可乐的净含量是多少？,355ml,325ml,0
215,蟋蟀发出的声音无法表达的行为是什么？,聊天,报警,0
216,小王在公共场合吐痰被罚5毛，拿出1元对方却找不开。你猜胆大的小王后面如何做？,再吐一次,说不用找了,0
217,五岳中的中岳是指什么？,嵩山,华山,0
218,俗称“四不象”的动物是什么？,麋鹿,鸭嘴兽,0
219,著名的卢浮宫博物馆在哪？,巴黎,马赛,0
220,飞机总是如何起飞的？,迎风,顺风,0
221,有十只羊，九只蹲在羊圈，一只蹲在猪圈。打一成语？,抑扬顿挫,羊入虎口,0
222,下列哪一种维生素经太阳照射后可转化为钙？,维生素D,维生素C,0
223,诸葛亮的办公地点，武侯祠在什么地方？,成都,剑阁,0
224,动物的哭泣一般是什么原因？,冲洗眼睛,想妈妈了,0
225,谁家没有电话？,天衣,人衣,0
226,海獭睡觉时是怎样的？,浮在水面上,钻进空木中,0
227,谁最了解鸟类？,惊弓,饲养员,0
228,周长相等的等边三角形、正方形、圆形，哪一个的面积最大？,圆形,正方形,0
229,UFO的具体含义是什么？,不明飞行物,不明生物,0
230,馒头是谁发明的？,诸葛亮,刘备,0
